
 TIME,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
 5,100000,99990,99992,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
 10,100000,99977,99982,99987,99987,99987,99982,99987,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990
 15,100000,99972,99971,99977,99982,99982,99977,99980,99985,99985,99985,99982,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985
 20,100000,99951,99967,99972,99975,99977,99972,99975,99972,99972,99977,99977,99977,99977,99976,99980,99977,99977,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980
 25,100000,99947,99962,99967,99970,99972,99967,99970,99962,99967,99972,99972,99967,99972,99971,99972,99972,99972,99972,99975,99972,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975
 30,100000,99937,99952,99957,99965,99967,99962,99965,99947,99962,99967,99962,99962,99967,99966,99967,99957,99967,99967,99967,99967,99967,99967,99962,99967,99970,99970,99970,99970,99970,99970,99970
 35,100000,99926,99947,99952,99959,99962,99957,99960,99942,99957,99962,99957,99957,99962,99961,99962,99952,99962,99962,99962,99962,99962,99962,99957,99962,99962,99965,99962,99962,99965,99962,99965
 40,100000,99917,99937,99947,99954,99952,99947,99952,99937,99952,99957,99952,99952,99957,99956,99957,99947,99957,99957,99957,99957,99957,99957,99952,99957,99957,99957,99957,99957,99957,99957,99957
 45,100000,99907,99929,99942,99949,99947,99942,99948,99932,99947,99952,99947,99947,99952,99951,99952,99942,99952,99952,99952,99952,99952,99952,99947,99952,99952,99952,99952,99952,99952,99952,99952
 50,100000,99894,99919,99934,99941,99939,99929,99940,99927,99942,99947,99942,99942,99947,99946,99947,99937,99947,99947,99947,99947,99947,99947,99942,99947,99947,99947,99947,99947,99947,99947,99947
 55,100000,99889,99908,99924,99936,99934,99924,99933,99922,99937,99942,99934,99937,99942,99941,99942,99932,99942,99942,99942,99942,99942,99942,99937,99942,99942,99942,99942,99942,99942,99942,99942
 60,100000,99868,99904,99919,99929,99929,99919,99928,99909,99924,99934,99929,99929,99934,99932,99937,99924,99934,99937,99937,99937,99937,99937,99932,99937,99937,99937,99937,99937,99937,99937,99937
