
 TIME,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
 5,100000,99990,99992,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
 10,100000,99977,99982,99987,99987,99987,99982,99987,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990
 15,100000,99972,99971,99977,99982,99982,99977,99980,99985,99985,99985,99982,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985
 20,100000,99951,99967,99972,99975,99977,99972,99975,99972,99972,99977,99977,99977,99977,99976,99980,99977,99977,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980
 25,100000,99942,99959,99967,99970,99972,99967,99970,99962,99967,99972,99972,99967,99972,99971,99972,99972,99972,99972,99975,99972,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975
 30,100000,99924,99944,99954,99962,99964,99954,99962,99947,99962,99967,99962,99962,99967,99966,99967,99957,99967,99967,99967,99967,99967,99967,99962,99967,99970,99970,99970,99970,99970,99970,99970
 35,100000,99913,99933,99944,99956,99959,99949,99955,99942,99957,99962,99954,99957,99962,99961,99962,99952,99962,99962,99962,99962,99962,99962,99957,99962,99962,99965,99962,99962,99965,99962,99965
 40,100000,99893,99929,99939,99949,99949,99939,99947,99929,99944,99954,99949,99949,99954,99952,99957,99944,99954,99957,99957,99957,99957,99957,99952,99957,99957,99957,99957,99957,99957,99957,99957
 45,100000,99884,99921,99934,99944,99944,99934,99943,99919,99939,99949,99944,99939,99949,99947,99949,99939,99949,99949,99952,99949,99952,99952,99947,99952,99952,99952,99952,99952,99952,99952,99952
 50,100000,99866,99906,99921,99936,99936,99921,99935,99904,99934,99944,99934,99934,99944,99942,99944,99924,99944,99944,99944,99944,99944,99944,99934,99944,99947,99947,99947,99947,99947,99947,99947
 55,100000,99855,99895,99911,99930,99931,99916,99928,99899,99929,99939,99926,99929,99939,99937,99939,99919,99939,99939,99939,99939,99939,99939,99929,99939,99939,99942,99939,99939,99942,99939,99942
 60,100000,99835,99891,99906,99923,99921,99906,99920,99886,99916,99931,99921,99921,99931,99928,99934,99911,99931,99934,99934,99934,99934,99934,99924,99934,99934,99934,99934,99934,99934,99934,99934
